user_id,date_week,requests_count
e4a19d84,2022-05-30 00:00:00,
b5cdff62,2022-05-30 00:00:00,4
d88852a3,2022-05-30 00:00:00,7
77e68b17,2022-05-30 00:00:00,2
dd55ca94,2022-05-30 00:00:00,2
5f8ee416,2022-05-30 00:00:00,7
2aaa5c3e,2022-05-30 00:00:00,2
85c93256,2022-05-30 00:00:00,3
44a5e414,2022-05-30 00:00:00,2
88ccc58d,2022-05-30 00:00:00,5
8f940034,2022-05-30 00:00:00,1
7bfc228f,2022-05-30 00:00:00,2
acd09456,2022-05-30 00:00:00,1
429edf70,2022-05-30 00:00:00,4
4bac0b92,2022-05-30 00:00:00,1
01a742a9,2022-05-30 00:00:00,1
5ec64e12,2022-05-30 00:00:00,3
53487999,2022-05-30 00:00:00,2
d8f1053d,2022-05-30 00:00:00,
501a2528,2022-05-30 00:00:00,
48dc3312,2022-05-30 00:00:00,4
3abd8ed7,2022-05-30 00:00:00,
bb5fff6e,2022-05-30 00:00:00,1
131c89fb,2022-05-30 00:00:00,
e9502cdd,2022-05-30 00:00:00,2
efd17089,2022-05-30 00:00:00,2
132bdd16,2022-05-30 00:00:00,
8950f8af,2022-05-30 00:00:00,
ccecf143,2022-05-30 00:00:00,1
68363625,2022-05-30 00:00:00,4
a4eab542,2022-05-30 00:00:00,
e816614c,2022-05-30 00:00:00,1
c0f90ce2,2022-05-30 00:00:00,3
40db6076,2022-05-30 00:00:00,1
c1ac588c,2022-05-30 00:00:00,4
3545f78a,2022-05-30 00:00:00,7
5b523898,2022-05-30 00:00:00,2
6b92f8bf,2022-05-30 00:00:00,1
d1b1d917,2022-05-30 00:00:00,2
8192dbb5,2022-05-30 00:00:00,
afc6ef60,2022-05-30 00:00:00,1
5fa9b4c1,2022-05-30 00:00:00,5
c7289633,2022-05-30 00:00:00,2
46783ba1,2022-05-30 00:00:00,
ad8903ab,2022-05-30 00:00:00,1
4f3810f1,2022-05-30 00:00:00,3
a6ed8e93,2022-05-30 00:00:00,7
2c59fe42,2022-05-30 00:00:00,3
addd2edb,2022-05-30 00:00:00,1
ea2e4b6b,2022-05-30 00:00:00,4
4e4d1351,2022-05-30 00:00:00,2
4c45faaf,2022-05-30 00:00:00,2
365e8901,2022-05-30 00:00:00,2
9a33b26d,2022-05-30 00:00:00,77
f9ac763e,2022-05-30 00:00:00,11
541f724b,2022-05-30 00:00:00,30
fc8b83cc,2022-05-30 00:00:00,1
bda4a125,2022-05-30 00:00:00,2
0f96ed71,2022-05-30 00:00:00,1
27276929,2022-05-30 00:00:00,1
3d820496,2022-05-30 00:00:00,
385a20c8,2022-05-30 00:00:00,1
bea0e3fc,2022-05-30 00:00:00,2
2daa8da7,2022-05-30 00:00:00,1
10f5e923,2022-05-30 00:00:00,
b5ad978a,2022-05-30 00:00:00,
4aaa3f13,2022-05-30 00:00:00,4
f242e829,2022-05-30 00:00:00,1
f8d9e83c,2022-05-30 00:00:00,
980d240f,2022-05-30 00:00:00,6
